YEAR,EXAM,BIL,NAMA,NOKP,KELAS,TINGKATAN,JANTINA,BM,BMG,BI,BIG,MM,MMG,SEJ,SEJG,PI,PIG,SN,SNG,GEO,GEOG,RBT,RBTG,ASK,ASKG,BJ,BJG,BA,BAG,PSV,PSVG,MT,MTG,PHY,PHYG,CHE,CHEG,BIO,BIOG,SK,SKG,GKT,GKTG,ACC,ACCG,PN,PNG,EKO,EKOG,TAS,TASG,JUMLAH_MARKAH,JUMLAH_GRED
2023,PPT,1,MUHAMMAD STUDENT 1001,2301012881,T1 ALPHA,T1,Lelaki,68,C,72,B,80,B,85,A,63,C,83,B,74,B,,,81,B,71,B,,,100,A,,,,,,,,,,,,,,,,,,,,,777,10 SUBJ
2023,PPT,2,NUR STUDENT 1002,2301016086,T1 ALPHA,T1,Perempuan,93,A,74,B,66,C,85,A,66,C,61,C,84,B,,,63,C,71,B,,,86,A,,,,,,,,,,,,,,,,,,,,,749,10 SUBJ
2023,PPT,3,NUR STUDENT 1003,2301019838,T1 ALPHA,T1,Perempuan,91,A,61,C,96,A,98,A,69,C,86,A,94,A,,,56,D,73,B,,,87,A,,,,,,,,,,,,,,,,,,,,,811,10 SUBJ
2023,PPT,4,NUR STUDENT 1004,2301014622,T1 ALPHA,T1,Perempuan,57,D,85,A,60,C,67,C,81,B,58,D,89,A,,,73,B,85,A,,,97,A,,,,,,,,,,,,,,,,,,,,,752,10 SUBJ
2023,PPT,5,MUHAMMAD STUDENT 1005,2301016388,T1 ALPHA,T1,Lelaki,83,B,70,B,85,A,85,A,58,D,79,B,92,A,,,71,B,74,B,,,73,B,,,,,,,,,,,,,,,,,,,,,770,10 SUBJ
2023,PPT,6,NUR STUDENT 1006,2301012393,T1 ALPHA,T1,Perempuan,83,B,61,C,65,C,76,B,43,E,89,A,61,C,,,82,B,57,D,,,69,C,,,,,,,,,,,,,,,,,,,,,686,10 SUBJ
2023,PPT,7,NUR STUDENT 1007,2301011900,T1 ALPHA,T1,Perempuan,71,B,80,B,82,B,85,A,59,D,98,A,77,B,,,81,B,83,B,,,83,B,,,,,,,,,,,,,,,,,,,,,799,10 SUBJ
2023,PPT,8,MUHAMMAD STUDENT 1008,2301011143,T1 ALPHA,T1,Lelaki,39,F,84,B,63,C,67,C,100,A,68,C,68,C,,,64,C,82,B,,,54,D,,,,,,,,,,,,,,,,,,,,,689,10 SUBJ
2023,PPT,9,NUR STUDENT 1009,2301011881,T1 ALPHA,T1,Perempuan,84,B,90,A,78,B,75,B,87,A,100,A,74,B,,,64,C,70,B,,,77,B,,,,,,,,,,,,,,,,,,,,,799,10 SUBJ
2023,PPT,10,NUR STUDENT 1010,2301017935,T1 ALPHA,T1,Perempuan,63,C,86,A,71,B,90,A,61,C,85,A,66,C,,,72,B,77,B,,,86,A,,,,,,,,,,,,,,,,,,,,,757,10 SUBJ
